pk,generation,num_children,audio,chain,parent,game_name,chain_name,message_name,remove
13,1,1,between-category-game-a/frip/gen-1.wav,4,4,between-category-game-a,frip,gen-1.wav,
15,1,1,between-category-game-a/frip/gen-1_JDQRoZX.wav,4,4,between-category-game-a,frip,gen-1_JDQRoZX.wav,
29,1,1,between-category-game-a/frip/gen-1_bTVyXti.wav,4,4,between-category-game-a,frip,gen-1_bTVyXti.wav,
18,2,1,between-category-game-a/frip/gen-2.wav,4,13,between-category-game-a,frip,gen-2.wav,
85,2,1,between-category-game-a/frip/gen-2_8GpIyx0.wav,4,29,between-category-game-a,frip,gen-2_8GpIyx0.wav,
60,2,1,between-category-game-a/frip/gen-2_HUGF4lj.wav,4,15,between-category-game-a,frip,gen-2_HUGF4lj.wav,
23,2,1,between-category-game-a/frip/gen-2_MxoYRTo.wav,4,15,between-category-game-a,frip,gen-2_MxoYRTo.wav,
41,2,1,between-category-game-a/frip/gen-2_N9lJnzp.wav,4,15,between-category-game-a,frip,gen-2_N9lJnzp.wav,
91,2,1,between-category-game-a/frip/gen-2_Su6XtFK.wav,4,15,between-category-game-a,frip,gen-2_Su6XtFK.wav,1
30,2,1,between-category-game-a/frip/gen-2_XR7Tt67.wav,4,15,between-category-game-a,frip,gen-2_XR7Tt67.wav,
94,2,1,between-category-game-a/frip/gen-2_YmGSFcr.wav,4,13,between-category-game-a,frip,gen-2_YmGSFcr.wav,
78,2,1,between-category-game-a/frip/gen-2_pqJJhmK.wav,4,15,between-category-game-a,frip,gen-2_pqJJhmK.wav,
114,2,1,between-category-game-a/frip/gen-2_qLKdrJ8.wav,4,13,between-category-game-a,frip,gen-2_qLKdrJ8.wav,
55,2,1,between-category-game-a/frip/gen-2_xFKCrAO.wav,4,29,between-category-game-a,frip,gen-2_xFKCrAO.wav,
33,3,1,between-category-game-a/frip/gen-3.wav,4,23,between-category-game-a,frip,gen-3.wav,
42,3,1,between-category-game-a/frip/gen-3_23VixS4.wav,4,18,between-category-game-a,frip,gen-3_23VixS4.wav,
111,3,1,between-category-game-a/frip/gen-3_3ev2uxt.wav,4,94,between-category-game-a,frip,gen-3_3ev2uxt.wav,
71,3,1,between-category-game-a/frip/gen-3_4ypIzw1.wav,4,60,between-category-game-a,frip,gen-3_4ypIzw1.wav,
58,3,1,between-category-game-a/frip/gen-3_8Ai7s8R.wav,4,41,between-category-game-a,frip,gen-3_8Ai7s8R.wav,
134,3,1,between-category-game-a/frip/gen-3_FO0IUIK.wav,4,18,between-category-game-a,frip,gen-3_FO0IUIK.wav,
107,3,1,between-category-game-a/frip/gen-3_RO1dT1p.wav,4,55,between-category-game-a,frip,gen-3_RO1dT1p.wav,
129,3,1,between-category-game-a/frip/gen-3_W3iZuoy.wav,4,91,between-category-game-a,frip,gen-3_W3iZuoy.wav,1
62,3,1,between-category-game-a/frip/gen-3_uRZoN0r.wav,4,18,between-category-game-a,frip,gen-3_uRZoN0r.wav,
116,3,1,between-category-game-a/frip/gen-3_uoC0r0N.wav,4,78,between-category-game-a,frip,gen-3_uoC0r0N.wav,
82,3,1,between-category-game-a/frip/gen-3_vOIvuAO.wav,4,41,between-category-game-a,frip,gen-3_vOIvuAO.wav,
48,4,1,between-category-game-a/frip/gen-4.wav,4,33,between-category-game-a,frip,gen-4.wav,
123,4,1,between-category-game-a/frip/gen-4_2ii1j4a.wav,4,42,between-category-game-a,frip,gen-4_2ii1j4a.wav,
77,4,1,between-category-game-a/frip/gen-4_LN5hvua.wav,4,42,between-category-game-a,frip,gen-4_LN5hvua.wav,
131,4,1,between-category-game-a/frip/gen-4_YNWOQZS.wav,4,111,between-category-game-a,frip,gen-4_YNWOQZS.wav,
